date	time	Temperature	Relative_humidity	Predicted_PAR
2014/1/1	0	3.1	89.9	0.00 
2014/1/1	1	2.9	89.4	0.00 
2014/1/1	2	2.8	88.6	0.00 
2014/1/1	3	2.5	88.5	0.00 
2014/1/1	4	2.6	88.8	0.00 
2014/1/1	5	2.7	88.2	0.00 
2014/1/1	6	2.6	88.2	0.00 
2014/1/1	7	2.8	88	0.00 
2014/1/1	8	2.8	88.6	0.23 
2014/1/1	9	2.8	89	6.89 
2014/1/1	10	2.8	91.3	51.25 
2014/1/1	11	2.7	95.2	55.84 
2014/1/1	12	3.1	96.9	77.68 
2014/1/1	13	3.8	97.1	70.09 
2014/1/1	14	4.4	96.8	51.02 
2014/1/1	15	4.6	95.9	18.38 
2014/1/1	16	4.4	94.4	0.69 
2014/1/1	17	4.3	94.4	0.00 
2014/1/1	18	4.4	92.8	0.00 
2014/1/1	19	4.4	91.5	0.00 
2014/1/1	20	4.2	92	0.00 
2014/1/1	21	4	93.4	0.00 
2014/1/1	22	3.8	93.5	0.00 
2014/1/1	23	3.5	92.9	0.00 
2014/1/2	0	3	93.8	0.00 
2014/1/2	1	3	94.2	0.00 
2014/1/2	2	3.4	93	0.00 
2014/1/2	3	3.7	92.3	0.00 
2014/1/2	4	3.8	92.6	0.00 
2014/1/2	5	3.8	92.7	0.00 
2014/1/2	6	3.7	94.8	0.00 
2014/1/2	7	3.7	95.6	0.00 
2014/1/2	8	3.7	96.2	0.00 
2014/1/2	9	3.9	96.5	5.52 
2014/1/2	10	4.2	96.8	30.11 
2014/1/2	11	4.6	97	35.62 
2014/1/2	12	4.9	97.2	34.01 
2014/1/2	13	5	97.8	36.54 
2014/1/2	14	5.1	98.3	30.11 
2014/1/2	15	5.3	98.5	16.55 
2014/1/2	16	5.4	98.7	1.61 
2014/1/2	17	5.5	99	0.00 
2014/1/2	18	5.7	98.8	0.00 
2014/1/2	19	5.6	98.5	0.00 
2014/1/2	20	5.5	98.6	0.00 
2014/1/2	21	5.6	98.7	0.00 
2014/1/2	22	5.8	98.7	0.00 
2014/1/2	23	5.8	98.9	0.00 
2014/1/3	0	5.8	99.2	0.00 
2014/1/3	1	5.9	99.1	0.00 
2014/1/3	2	5.2	98.6	0.00 
2014/1/3	3	5.4	97.5	0.00 
2014/1/3	4	5.7	95.8	0.00 
2014/1/3	5	5.7	95.1	0.00 
2014/1/3	6	5.5	94.8	0.00 
2014/1/3	7	4.9	95.7	0.00 
2014/1/3	8	5.3	95.4	1.84 
2014/1/3	9	5.5	95.6	17.70 
2014/1/3	10	5.5	95	43.66 
2014/1/3	11	5.6	94.4	38.38 
2014/1/3	12	5.8	93.4	77.45 
2014/1/3	13	5.9	93.4	40.45 
2014/1/3	14	5.8	95.5	30.34 
2014/1/3	15	5.7	97.4	11.95 
2014/1/3	16	6	97.6	0.23 
2014/1/3	17	6.2	98.3	0.00 
2014/1/3	18	6.9	98.1	0.00 
2014/1/3	19	6.8	94.7	0.00 
2014/1/3	20	6.5	94	0.00 
2014/1/3	21	6.1	94	0.00 
2014/1/3	22	5.8	94.4	0.00 
2014/1/3	23	6.3	95	0.00 
2014/1/4	0	6.4	91.2	0.00 
2014/1/4	1	6	90.4	0.00 
2014/1/4	2	5.9	89.9	0.00 
2014/1/4	3	5.2	91.5	0.00 
2014/1/4	4	5.5	91.5	0.00 
2014/1/4	5	5.6	92.8	0.00 
2014/1/4	6	5.9	90.9	0.00 
2014/1/4	7	5.6	91.7	0.00 
2014/1/4	8	5.6	92.1	0.23 
2014/1/4	9	5.8	93.7	67.79 
2014/1/4	10	5.7	91.9	74.23 
2014/1/4	11	6.2	91.2	139.95 
2014/1/4	12	6.7	88.4	204.30 
2014/1/4	13	6.3	89.2	126.86 
2014/1/4	14	6.6	90.5	172.36 
2014/1/4	15	6.5	89.5	57.91 
2014/1/4	16	5.9	91.4	0.92 
2014/1/4	17	5.9	91.6	0.00 
2014/1/4	18	5.3	91.6	0.00 
2014/1/4	19	5	91.1	0.00 
2014/1/4	20	5	89.2	0.00 
2014/1/4	21	5	87	0.00 
2014/1/4	22	5	86.9	0.00 
2014/1/4	23	4.9	87	0.00 
2014/1/5	0	4.3	88.7	0.00 
2014/1/5	1	4.2	89.2	0.00 
2014/1/5	2	4.4	87.4	0.00 
2014/1/5	3	4.4	86	0.00 
2014/1/5	4	4	87.9	0.00 
2014/1/5	5	4.3	88.2	0.00 
2014/1/5	6	4.3	88.9	0.00 
2014/1/5	7	4.3	90.2	0.00 
2014/1/5	8	4.1	91.2	0.69 
2014/1/5	9	4.2	92.5	17.01 
2014/1/5	10	4.2	93.6	27.58 
2014/1/5	11	4.2	94.3	20.22 
2014/1/5	12	4.1	96	41.83 
2014/1/5	13	4.2	97.3	53.55 
2014/1/5	14	4.7	98	93.30 
2014/1/5	15	5.1	97.7	108.24 
2014/1/5	16	4.1	96.6	1.84 
2014/1/5	17	3.3	97.6	0.00 
2014/1/5	18	2.5	98.3	0.00 
2014/1/5	19	2.4	98.8	0.00 
2014/1/5	20	2.1	98.6	0.00 
2014/1/5	21	1.8	98.3	0.00 
2014/1/5	22	1.8	98.1	0.00 
2014/1/5	23	1.4	98.2	0.00 
2014/1/6	0	1	98.9	0.00 
2014/1/6	1	1.6	99.5	0.00 
2014/1/6	2	2.4	99.7	0.00 
2014/1/6	3	3.1	98.5	0.00 
2014/1/6	4	3.1	96.2	0.00 
2014/1/6	5	3.1	95	0.00 
2014/1/6	6	3.1	94.8	0.00 
2014/1/6	7	3.1	95.5	0.00 
2014/1/6	8	3.2	97	0.00 
2014/1/6	9	3.4	98.2	27.58 
2014/1/6	10	3.7	98.2	24.59 
2014/1/6	11	4.1	98.7	51.02 
2014/1/6	12	4.8	98.9	89.40 
2014/1/6	13	5.9	99.1	134.21 
2014/1/6	14	7.6	98.4	39.53 
2014/1/6	15	8.4	96.8	12.18 
2014/1/6	16	8.8	95.5	1.61 
2014/1/6	17	8.9	94.3	0.00 
2014/1/6	18	8.8	93.9	0.00 
2014/1/6	19	8.7	93.1	0.00 
2014/1/6	20	8.9	93.1	0.00 
2014/1/6	21	8.9	91.8	0.00 
2014/1/6	22	8.8	91	0.00 
2014/1/6	23	9	90.7	0.00 
2014/1/7	0	9	92	0.00 
2014/1/7	1	8.7	91	0.00 
2014/1/7	2	8.1	90.1	0.00 
2014/1/7	3	8.1	91.6	0.00 
2014/1/7	4	8.6	91.1	0.00 
2014/1/7	5	8.5	89.5	0.00 
2014/1/7	6	8.5	90	0.00 
2014/1/7	7	8.7	89.8	0.00 
2014/1/7	8	8.9	88.9	0.92 
2014/1/7	9	8.9	88.7	10.34 
2014/1/7	10	9	86.2	40.22 
2014/1/7	11	9.1	85.4	99.28 
2014/1/7	12	9.2	86.1	86.41 
2014/1/7	13	9	87.1	40.22 
2014/1/7	14	8.4	91.8	23.21 
2014/1/7	15	7.8	94.2	13.79 
2014/1/7	16	7.7	94.9	0.23 
2014/1/7	17	7.7	94.7	0.00 
2014/1/7	18	7.6	93.4	0.00 
2014/1/7	19	7.2	95.3	0.00 
2014/1/7	20	7.3	95.5	0.00 
2014/1/7	21	7.8	92	0.00 
2014/1/7	22	7.5	91.6	0.00 
2014/1/7	23	7.5	90.9	0.00 
2014/1/8	0	7.8	90.4	0.00 
2014/1/8	1	8.3	89.3	0.00 
2014/1/8	2	8.4	88.8	0.00 
2014/1/8	3	8.4	87.1	0.00 
2014/1/8	4	8.4	86.9	0.00 
2014/1/8	5	8.2	87.3	0.00 
2014/1/8	6	8	87.5	0.00 
2014/1/8	7	7.9	87.4	0.00 
2014/1/8	8	7.8	88.7	0.23 
2014/1/8	9	7.8	88.8	9.19 
2014/1/8	10	7.8	89	45.50 
2014/1/8	11	7.8	89.3	64.12 
2014/1/8	12	7.9	89.4	85.49 
2014/1/8	13	8	87.9	59.06 
2014/1/8	14	8.1	87	94.68 
2014/1/8	15	7.7	88.4	38.84 
2014/1/8	16	7.2	92.8	2.99 
2014/1/8	17	7	94.4	0.00 
2014/1/8	18	7	94.3	0.00 
2014/1/8	19	7	94.7	0.00 
2014/1/8	20	7.1	93.5	0.00 
2014/1/8	21	7.1	92.2	0.00 
2014/1/8	22	6.8	93.7	0.00 
2014/1/8	23	6.8	92.4	0.00 
2014/1/9	0	6.4	94.4	0.00 
2014/1/9	1	6.4	93.1	0.00 
2014/1/9	2	5.8	94	0.00 
2014/1/9	3	5.6	95.3	0.00 
2014/1/9	4	5.7	95.9	0.00 
2014/1/9	5	5.8	96.1	0.00 
2014/1/9	6	5.7	96.2	0.00 
2014/1/9	7	5.6	97.3	0.00 
2014/1/9	8	5.3	97.8	0.00 
2014/1/9	9	5.2	98.3	4.14 
2014/1/9	10	5.2	98.8	17.70 
2014/1/9	11	5.2	98.4	17.70 
2014/1/9	12	5.5	98.7	26.66 
2014/1/9	13	6.3	98.8	65.73 
2014/1/9	14	7.6	98.3	19.99 
2014/1/9	15	7.2	95.7	31.94 
2014/1/9	16	7	96.8	2.30 
2014/1/9	17	7.1	94.6	0.23 
2014/1/9	18	5.9	91	0.00 
2014/1/9	19	4.8	96.3	0.00 
2014/1/9	20	4.4	97.9	0.00 
2014/1/9	21	3.7	96.7	0.00 
2014/1/9	22	4.1	96.4	0.00 
2014/1/9	23	4.2	96.2	0.00 
2014/1/10	0	4.6	95.7	0.00 
2014/1/10	1	5	95	0.00 
2014/1/10	2	5.3	92.6	0.00 
2014/1/10	3	5.1	93.5	0.00 
2014/1/10	4	4.9	94.4	0.00 
2014/1/10	5	5.1	95.9	0.00 
2014/1/10	6	5.1	95.3	0.00 
2014/1/10	7	5.2	95.5	0.00 
2014/1/10	8	5	96.4	1.15 
2014/1/10	9	5.2	96.5	28.73 
2014/1/10	10	5.2	96.8	96.29 
2014/1/10	11	5.5	95.9	148.23 
2014/1/10	12	6	96.6	218.78 
2014/1/10	13	5.5	95.4	144.32 
2014/1/10	14	5.7	96.7	94.91 
2014/1/10	15	5.9	95.2	36.31 
2014/1/10	16	5.8	94.9	2.30 
2014/1/10	17	5.7	95.4	0.00 
2014/1/10	18	5.7	95	0.00 
2014/1/10	19	5.7	95.2	0.00 
2014/1/10	20	5.9	92.3	0.00 
2014/1/10	21	6	92.8	0.00 
2014/1/10	22	5.8	93	0.00 
2014/1/10	23	5.6	92.6	0.00 
2014/1/11	0	5.8	91.9	0.00 
2014/1/11	1	5.6	91.1	0.00 
2014/1/11	2	5.6	93.2	0.00 
2014/1/11	3	6	93	0.00 
2014/1/11	4	6.1	92.6	0.00 
2014/1/11	5	6	93.6	0.00 
2014/1/11	6	6	95.8	0.00 
2014/1/11	7	6.1	97.3	0.00 
2014/1/11	8	6.3	96.9	0.46 
2014/1/11	9	6.2	95.9	14.02 
2014/1/11	10	6.2	96.9	51.48 
2014/1/11	11	5.6	96.9	51.48 
2014/1/11	12	4.8	95.4	96.52 
2014/1/11	13	4.9	95.3	103.64 
2014/1/11	14	5.2	92.8	145.24 
2014/1/11	15	4.9	86.3	57.45 
2014/1/11	16	4	85.8	3.68 
2014/1/11	17	3.6	88	0.00 
2014/1/11	18	2.9	95.1	0.00 
2014/1/11	19	2.9	95.6	0.00 
2014/1/11	20	3.4	93.9	0.00 
2014/1/11	21	3.5	94	0.00 
2014/1/11	22	3.8	92.9	0.00 
2014/1/11	23	4.2	90	0.00 
2014/1/12	0	4.2	88	0.00 
2014/1/12	1	4	88.6	0.00 
2014/1/12	2	4.1	86.4	0.00 
2014/1/12	3	4	86.2	0.00 
2014/1/12	4	4.1	86.2	0.00 
2014/1/12	5	4.3	84.6	0.00 
2014/1/12	6	4.4	83.2	0.00 
2014/1/12	7	4	83.4	0.00 
2014/1/12	8	4	86.2	0.69 
2014/1/12	9	4.3	82.5	29.42 
2014/1/12	10	4.4	78.3	170.98 
2014/1/12	11	4.2	68.9	288.41 
2014/1/12	12	4.3	63.9	314.84 
2014/1/12	13	4.1	71.8	151.91 
2014/1/12	14	3.8	75.6	167.53 
2014/1/12	15	3.2	77.5	107.09 
2014/1/12	16	2.5	78.6	5.06 
2014/1/12	17	1.6	80.7	0.00 
2014/1/12	18	1	80.8	0.00 
2014/1/12	19	0.1	84.4	0.00 
2014/1/12	20	-0.8	87.7	0.00 
2014/1/12	21	-1.8	89.8	0.00 
2014/1/12	22	-2.2	90	0.00 
2014/1/12	23	-2.7	91.5	0.00 
2014/1/13	0	-3.1	92.3	0.00 
2014/1/13	1	-3	92.1	0.00 
2014/1/13	2	-2.8	90	0.00 
2014/1/13	3	-2.4	82.2	0.00 
2014/1/13	4	-2.5	82.2	0.00 
2014/1/13	5	-2.6	80.8	0.00 
2014/1/13	6	-2.6	81.3	0.00 
2014/1/13	7	-2.3	81.1	0.00 
2014/1/13	8	-1.9	81.6	0.00 
2014/1/13	9	-1.6	78.1	5.29 
2014/1/13	10	-1.4	79.5	21.14 
2014/1/13	11	-0.8	79.8	90.55 
2014/1/13	12	-0.4	80.2	59.52 
2014/1/13	13	-1	95.5	57.45 
2014/1/13	14	-0.7	97.6	79.97 
2014/1/13	15	-0.2	98.2	35.62 
2014/1/13	16	0.2	98.6	3.68 
2014/1/13	17	0.4	98.9	0.00 
2014/1/13	18	0.8	99.5	0.00 
2014/1/13	19	1.1	100	0.00 
2014/1/13	20	1.2	100	0.00 
2014/1/13	21	1.3	100	0.00 
2014/1/13	22	1.5	100	0.00 
2014/1/13	23	2.4	100	0.00 
2014/1/14	0	2.6	100	0.00 
2014/1/14	1	2.3	100	0.00 
2014/1/14	2	1.9	100	0.00 
2014/1/14	3	1.6	100	0.00 
2014/1/14	4	1.8	100	0.00 
2014/1/14	5	1.3	100	0.00 
2014/1/14	6	0.9	100	0.00 
2014/1/14	7	1.2	100	0.00 
2014/1/14	8	1.3	100	1.15 
2014/1/14	9	1.3	100	74.00 
2014/1/14	10	1.7	100	107.78 
2014/1/14	11	2	100	94.22 
2014/1/14	12	2.2	100	141.56 
2014/1/14	13	2.5	100	175.35 
2014/1/14	14	2.7	100	99.51 
2014/1/14	15	3	100	41.60 
2014/1/14	16	3.1	100	2.07 
2014/1/14	17	3	100	0.00 
2014/1/14	18	2.9	100	0.00 
2014/1/14	19	3.3	100	0.00 
2014/1/14	20	3.4	100	0.00 
2014/1/14	21	3.3	100	0.00 
2014/1/14	22	3.2	100	0.46 
2014/1/14	23	3.2	100	0.00 
2014/1/15	0	3.2	100	0.23 
2014/1/15	1	3.1	100	0.00 
2014/1/15	2	3	99.5	0.00 
2014/1/15	3	3	99	0.00 
2014/1/15	4	3	99.1	0.00 
2014/1/15	5	3	99.1	0.00 
2014/1/15	6	3	98.5	0.00 
2014/1/15	7	3	98.1	0.00 
2014/1/15	8	2.7	97.8	0.46 
2014/1/15	9	2.2	97.8	19.07 
2014/1/15	10	2.2	98.1	69.63 
2014/1/15	11	2.5	98	38.38 
2014/1/15	12	2.7	98	55.84 
2014/1/15	13	2.8	97.9	65.73 
2014/1/15	14	3	97.4	43.20 
2014/1/15	15	3.1	94.8	54.01 
2014/1/15	16	3	94.1	2.76 
2014/1/15	17	2.9	92.6	0.00 
2014/1/15	18	2.7	92.9	0.00 
2014/1/15	19	2.4	93	0.00 
2014/1/15	20	2.8	92.5	0.00 
2014/1/15	21	2.8	92	0.00 
2014/1/15	22	2.8	90.8	0.00 
2014/1/15	23	2.5	88.3	0.00 
2014/1/16	0	2.4	86.8	0.00 
2014/1/16	1	2.4	85.5	0.00 
2014/1/16	2	2.1	88.1	0.00 
2014/1/16	3	1.5	93.5	0.00 
2014/1/16	4	1.2	96	0.00 
2014/1/16	5	1	97.1	0.00 
2014/1/16	6	1.1	98	0.00 
2014/1/16	7	1	98.3	0.00 
2014/1/16	8	1.1	98.3	0.00 
2014/1/16	9	1.1	98.2	9.42 
2014/1/16	10	1.2	97.7	47.11 
2014/1/16	11	1.2	97.9	77.22 
2014/1/16	12	1.2	97.8	46.19 
2014/1/16	13	1.1	98.3	38.15 
2014/1/16	14	1	98.2	49.18 
2014/1/16	15	1	98.2	23.44 
2014/1/16	16	1	98	1.61 
2014/1/16	17	0.8	98.3	0.00 
2014/1/16	18	0.6	98.8	0.00 
2014/1/16	19	0.8	98.5	0.00 
2014/1/16	20	0.9	98.1	0.00 
2014/1/16	21	0.9	98.1	0.00 
2014/1/16	22	0.9	98.2	0.00 
2014/1/16	23	0.9	97.6	0.00 
2014/1/17	0	0.6	97.9	0.00 
2014/1/17	1	0.2	99.4	0.23 
2014/1/17	2	0.2	100	0.00 
2014/1/17	3	0.2	100	0.00 
2014/1/17	4	0.1	100	0.23 
2014/1/17	5	0.1	100	0.00 
2014/1/17	6	0	100	0.00 
2014/1/17	7	0.1	100	0.00 
2014/1/17	8	0.1	100	1.84 
2014/1/17	9	0.2	100	28.96 
2014/1/17	10	0.3	100	36.08 
2014/1/17	11	0.4	100	58.60 
2014/1/17	12	0.6	100	49.64 
2014/1/17	13	0.6	100	56.07 
2014/1/17	14	0.6	100	38.15 
2014/1/17	15	0.2	100	20.91 
2014/1/17	16	0.1	100	3.45 
2014/1/17	17	0.1	100	0.00 
2014/1/17	18	0.2	100	0.00 
2014/1/17	19	0.2	100	0.00 
2014/1/17	20	0.3	100	0.00 
2014/1/17	21	0.4	100	0.00 
2014/1/17	22	0.4	100	0.00 
2014/1/17	23	0.4	100	0.00 
2014/1/18	0	0.6	99.9	0.00 
2014/1/18	1	0.5	99.6	0.00 
2014/1/18	2	0.6	99.3	0.00 
2014/1/18	3	0.6	98.5	0.00 
2014/1/18	4	0.6	98.4	0.00 
2014/1/18	5	0.6	97.9	0.00 
2014/1/18	6	0.4	98.3	0.00 
2014/1/18	7	0.6	98.1	0.00 
2014/1/18	8	0.4	98.5	0.23 
2014/1/18	9	0.3	99.2	12.87 
2014/1/18	10	0.3	99.4	60.67 
2014/1/18	11	0.4	99.5	93.99 
2014/1/18	12	0.3	99.4	87.79 
2014/1/18	13	0.4	99.4	63.66 
2014/1/18	14	0.4	99.2	50.10 
2014/1/18	15	0.5	99	17.47 
2014/1/18	16	0.5	98.7	1.84 
2014/1/18	17	0.6	98.8	0.00 
2014/1/18	18	0.7	98.7	0.00 
2014/1/18	19	0.9	98.5	0.00 
2014/1/18	20	1.1	97.8	0.00 
2014/1/18	21	1.2	97	0.00 
2014/1/18	22	1.4	95.7	0.00 
2014/1/18	23	1.4	95.1	0.00 
2014/1/19	0	1.5	95	0.00 
2014/1/19	1	1.5	94.9	0.00 
2014/1/19	2	1.5	95.1	0.00 
2014/1/19	3	1.4	95.2	0.00 
2014/1/19	4	1.3	95.4	0.00 
2014/1/19	5	1.3	95.6	0.00 
2014/1/19	6	1.2	94.6	0.00 
2014/1/19	7	1	93.7	0.00 
2014/1/19	8	0.8	91.7	0.23 
2014/1/19	9	0.7	90	9.88 
2014/1/19	10	0.7	88.3	34.47 
2014/1/19	11	0.7	86.8	54.92 
2014/1/19	12	0.8	86.6	90.55 
2014/1/19	13	0.9	87.7	61.59 
2014/1/19	14	0.7	89	31.71 
2014/1/19	15	0.6	88.2	14.94 
2014/1/19	16	0.5	87.3	1.15 
2014/1/19	17	0.3	87.5	0.00 
2014/1/19	18	0.2	87.2	0.00 
2014/1/19	19	0.1	87	0.00 
2014/1/19	20	0	86.2	0.00 
2014/1/19	21	-0.2	85.2	0.00 
2014/1/19	22	-0.2	84.9	0.00 
2014/1/19	23	-0.1	84.8	0.00 
2014/1/20	0	-0.1	84.8	0.00 
2014/1/20	1	0	85.2	0.00 
2014/1/20	2	-0.2	86	0.00 
2014/1/20	3	-0.1	86.1	0.00 
2014/1/20	4	-0.1	86.3	0.00 
2014/1/20	5	-0.1	86.5	0.00 
2014/1/20	6	-0.1	86.2	0.00 
2014/1/20	7	-0.3	86.2	0.00 
2014/1/20	8	-0.4	86.2	0.23 
2014/1/20	9	-0.3	86.5	10.57 
2014/1/20	10	-0.3	87	25.05 
2014/1/20	11	-0.4	88	27.58 
2014/1/20	12	-0.2	89.4	32.17 
2014/1/20	13	-0.2	91.7	25.74 
2014/1/20	14	0	90.7	19.07 
2014/1/20	15	0	90.7	12.64 
2014/1/20	16	-0.2	92.9	1.38 
2014/1/20	17	-0.3	93.2	0.00 
2014/1/20	18	-0.5	94.5	0.00 
2014/1/20	19	-0.3	92.4	0.00 
2014/1/20	20	-0.2	88.6	0.00 
2014/1/20	21	-0.2	88.7	0.00 
2014/1/20	22	-0.4	89	0.00 
2014/1/20	23	-0.5	89.8	0.00 
2014/1/21	0	-0.7	91.4	0.00 
2014/1/21	1	-0.8	92.4	0.00 
2014/1/21	2	-0.8	93.8	0.00 
2014/1/21	3	-0.9	94.5	0.00 
2014/1/21	4	-1	96.4	0.00 
2014/1/21	5	-1	97.1	0.00 
2014/1/21	6	-0.9	97.4	0.00 
2014/1/21	7	-0.9	97.7	0.00 
2014/1/21	8	-0.8	98.1	0.69 
2014/1/21	9	-0.8	98.2	10.57 
2014/1/21	10	-0.9	98.5	82.27 
2014/1/21	11	-0.8	98.4	79.28 
2014/1/21	12	-0.7	96.5	96.98 
2014/1/21	13	-0.6	94.8	87.33 
2014/1/21	14	-0.6	94	48.26 
2014/1/21	15	-0.6	93.7	14.48 
2014/1/21	16	-0.6	93.3	1.15 
2014/1/21	17	-0.6	93.4	0.00 
2014/1/21	18	-0.6	93.2	0.00 
2014/1/21	19	-0.7	92.3	0.00 
2014/1/21	20	-0.9	88.8	0.00 
2014/1/21	21	-1	87.3	0.00 
2014/1/21	22	-1	88.3	0.00 
2014/1/21	23	-1.2	88.7	0.00 
2014/1/22	0	-1.2	89.1	0.00 
2014/1/22	1	-1.4	88.2	0.00 
2014/1/22	2	-1.5	87.1	0.00 
2014/1/22	3	-1.4	86.5	0.00 
2014/1/22	4	-1.4	86.5	0.00 
2014/1/22	5	-1.4	86.4	0.00 
2014/1/22	6	-1.5	87.6	0.00 
2014/1/22	7	-1.4	87.3	0.00 
2014/1/22	8	-1.3	86.1	0.69 
2014/1/22	9	-1.1	83.5	10.80 
2014/1/22	10	-1.1	82.3	31.71 
2014/1/22	11	-1	81.5	68.25 
2014/1/22	12	-0.8	78	89.86 
2014/1/22	13	-0.7	76.7	105.25 
2014/1/22	14	-0.8	79.4	74.92 
2014/1/22	15	-0.8	77.4	43.89 
2014/1/22	16	-0.9	76.7	8.50 
2014/1/22	17	-1.1	77.5	0.00 
2014/1/22	18	-1	75	0.00 
2014/1/22	19	-1.1	74.7	0.00 
2014/1/22	20	-1.2	75.6	0.00 
2014/1/22	21	-1.2	76.4	0.00 
2014/1/22	22	-1.2	76.8	0.00 
2014/1/22	23	-1.3	76.9	0.00 
2014/1/23	0	-1.4	77.8	0.00 
2014/1/23	1	-1.5	80.5	0.00 
2014/1/23	2	-1.2	75.5	0.00 
2014/1/23	3	-1.2	76.1	0.00 
2014/1/23	4	-1.2	76	0.00 
2014/1/23	5	-1.2	76.4	0.00 
2014/1/23	6	-1.2	76.6	0.00 
2014/1/23	7	-1.1	77	0.00 
2014/1/23	8	-1.1	78.2	0.69 
2014/1/23	9	-1.1	77.5	15.17 
2014/1/23	10	-1.1	76.7	35.85 
2014/1/23	11	-1.3	75.4	81.12 
2014/1/23	12	-1.4	75.5	76.76 
2014/1/23	13	-1.8	76.4	109.16 
2014/1/23	14	-2.2	77.4	67.79 
2014/1/23	15	-2.4	75.3	46.88 
2014/1/23	16	-2.1	74.5	13.56 
2014/1/23	17	-1.9	74.7	0.00 
2014/1/23	18	-1.8	72.4	0.00 
2014/1/23	19	-1.9	72.6	0.00 
2014/1/23	20	-2	73.7	0.00 
2014/1/23	21	-1.8	75	0.00 
2014/1/23	22	-1.6	74.4	0.00 
2014/1/23	23	-1.4	73.8	0.00 
2014/1/24	0	-1.3	74.1	0.00 
2014/1/24	1	-1.7	75.3	0.00 
2014/1/24	2	-2.3	74	0.00 
2014/1/24	3	-2.7	73.9	0.00 
2014/1/24	4	-3	73	0.00 
2014/1/24	5	-3.6	73	0.00 
2014/1/24	6	-3.7	75.2	0.00 
2014/1/24	7	-4.1	77.1	0.00 
2014/1/24	8	-4.3	78.4	3.45 
2014/1/24	9	-4	77	58.37 
2014/1/24	10	-3.2	75.1	120.65 
2014/1/24	11	-2.6	76.4	170.75 
2014/1/24	12	-2.1	74.9	201.77 
2014/1/24	13	-1.9	72.6	174.89 
2014/1/24	14	-2	70.1	142.71 
2014/1/24	15	-2.2	69.3	84.80 
2014/1/24	16	-2.2	71.2	18.84 
2014/1/24	17	-2.1	71.6	0.00 
2014/1/24	18	-2.1	71.8	0.00 
2014/1/24	19	-2.1	71.9	0.00 
2014/1/24	20	-2.3	71.8	0.00 
2014/1/24	21	-2.5	71.6	0.00 
2014/1/24	22	-2.7	71.9	0.00 
2014/1/24	23	-3.1	72.9	0.00 
2014/1/25	0	-3	74.3	0.00 
2014/1/25	1	-3	75	0.00 
2014/1/25	2	-3.3	76	0.00 
2014/1/25	3	-3.4	77	0.00 
2014/1/25	4	-3.4	77.5	0.00 
2014/1/25	5	-3.8	75.5	0.00 
2014/1/25	6	-4.1	77	0.00 
2014/1/25	7	-4.2	79.2	0.00 
2014/1/25	8	-4.1	80.9	8.73 
2014/1/25	9	-4.1	75.5	61.59 
2014/1/25	10	-4	73.4	169.83 
2014/1/25	11	-3.5	71.2	299.90 
2014/1/25	12	-3.3	67.2	297.61 
2014/1/25	13	-3.4	66.9	229.35 
2014/1/25	14	-3.7	65.7	170.52 
2014/1/25	15	-4	67.1	64.35 
2014/1/25	16	-4.1	70.2	13.33 
2014/1/25	17	-4.1	75	0.00 
2014/1/25	18	-4.2	76.4	0.00 
2014/1/25	19	-4.2	76.7	0.00 
2014/1/25	20	-4.2	75.9	0.00 
2014/1/25	21	-4.2	74	0.00 
2014/1/25	22	-4.3	75.3	0.00 
2014/1/25	23	-4.4	76.5	0.00 
2014/1/26	0	-4.5	78.2	0.00 
2014/1/26	1	-5	80.3	0.00 
2014/1/26	2	-5.1	79.5	0.00 
2014/1/26	3	-5.3	79.2	0.00 
2014/1/26	4	-5.6	79.5	0.00 
2014/1/26	5	-5.1	78	0.00 
2014/1/26	6	-5.2	76.5	0.00 
2014/1/26	7	-5.4	78.8	0.00 
2014/1/26	8	-5.4	78.9	4.14 
2014/1/26	9	-5.2	79	39.30 
2014/1/26	10	-4.8	77	90.32 
2014/1/26	11	-4.3	75.2	146.85 
2014/1/26	12	-4	79	86.41 
2014/1/26	13	-3.7	81.4	70.32 
2014/1/26	14	-3.5	81.6	44.81 
2014/1/26	15	-3.3	80.3	20.45 
2014/1/26	16	-3.4	80.3	1.61 
2014/1/26	17	-3.8	83.4	0.00 
2014/1/26	18	-3.9	84.2	0.00 
2014/1/26	19	-3.9	84.2	0.00 
2014/1/26	20	-4.4	84.5	0.00 
2014/1/26	21	-4.9	85.4	0.00 
2014/1/26	22	-5.4	85.8	0.00 
2014/1/26	23	-6.1	85.2	0.00 
2014/1/27	0	-6.4	86.1	0.00 
2014/1/27	1	-6.2	85.4	0.00 
2014/1/27	2	-5.9	84.8	0.00 
2014/1/27	3	-5.5	85	0.00 
2014/1/27	4	-5.1	83.4	0.00 
2014/1/27	5	-4.8	81.8	0.00 
2014/1/27	6	-4.9	89.1	0.00 
2014/1/27	7	-4.6	91.1	0.00 
2014/1/27	8	-4.1	92.7	2.07 
2014/1/27	9	-3.4	96.3	52.17 
2014/1/27	10	-2.9	96.7	77.45 
2014/1/27	11	-2.5	97.3	42.52 
2014/1/27	12	-1.9	93.8	79.06 
2014/1/27	13	-2	91.1	50.33 
2014/1/27	14	-2	92.6	150.07 
2014/1/27	15	-1.9	93.1	96.75 
2014/1/27	16	-1.7	93	23.67 
2014/1/27	17	-1.9	95.8	0.00 
2014/1/27	18	-1.9	98.1	0.00 
2014/1/27	19	-1.7	98.8	0.00 
